index,Supplement,Oil_retention,Water_retention,Bulk_density,Tapped_density,L,a,b,C,h,Curcumin_binding_capacity,Particle_size,Specific_surface_area,Biscuit_hardness,Custard_viscosity,Custard_firmness,Custard_stickiness,Cellulose,Hemicellulose,Dextrine,Pectin,Lignin,Fructans,Insoluble_fibre,Soluble_fibre,Protein,Carbs,Fat,Water,Ash,type,bioaccessibility
30,FST 00018 KaroPRO SG,3,6.110233333,0.329193333,0.540540541,65.06333333,18.28666667,32.81666667,37.56666667,60.87333333,100,37.0895,0.2805,2157,15381,212.5,-114.1666667,0.024056604,0.003962264,0,0.002830189,0.003962264,0,0.019528302,0.015283019,0.08645283,0.560377358,0.097283019,0.290679245,0.020377358,1,58.6494371
31,FST 00018 KaroPRO SG,3,6.110233333,0.329193333,0.540540541,65.06333333,18.28666667,32.81666667,37.56666667,60.87333333,100,37.0895,0.2805,2157,15381,212.5,-114.1666667,0.024056604,0.003962264,0,0.002830189,0.003962264,0,0.019528302,0.015283019,0.08645283,0.560377358,0.097283019,0.290679245,0.020377358,1,56.21301857
32,FST 00018 KaroPRO SG,3,6.110233333,0.329193333,0.540540541,65.06333333,18.28666667,32.81666667,37.56666667,60.87333333,100,37.0895,0.2805,2157,15381,212.5,-114.1666667,0.024056604,0.003962264,0,0.002830189,0.003962264,0,0.019528302,0.015283019,0.08645283,0.560377358,0.097283019,0.290679245,0.020377358,1,57.4213433
33,FST 00018 KaroPRO SG,3,6.110233333,0.329193333,0.540540541,65.06333333,18.28666667,32.81666667,37.56666667,60.87333333,100,37.0895,0.2805,2157,15381,212.5,-114.1666667,0.024056604,0.003962264,0,0.002830189,0.003962264,0,0.019528302,0.015283019,0.08645283,0.560377358,0.097283019,0.290679245,0.020377358,1,55.14029182
34,FST 00018 KaroPRO SG,3,6.110233333,0.329193333,0.540540541,65.06333333,18.28666667,32.81666667,37.56666667,60.87333333,100,37.0895,0.2805,2157,15381,212.5,-114.1666667,0.024056604,0.003962264,0,0.002830189,0.003962264,0,0.019528302,0.015283019,0.08645283,0.560377358,0.097283019,0.290679245,0.020377358,1,49.52079904
35,FST 00018 KaroPRO SG,3,6.110233333,0.329193333,0.540540541,65.06333333,18.28666667,32.81666667,37.56666667,60.87333333,100,37.0895,0.2805,2157,15381,212.5,-114.1666667,0.024056604,0.003962264,0,0.002830189,0.003962264,0,0.019528302,0.015283019,0.08645283,0.560377358,0.097283019,0.290679245,0.020377358,1,46.64939592
36,Pea fiber 50 M,2.5,4.222,0.468793333,0.652173913,71.77666667,17.1,28.14666667,32.93333333,58.71333333,40,88.572,0.168,1419,25000,506,-303.3333333,0.012169811,0.016981132,0,0,0,0,0.029150943,0,0.105320755,0.613207547,0.093509434,0.305773585,0.016603774,1,56.90820711
37,Pea fiber 50 M,2.5,4.222,0.468793333,0.652173913,71.77666667,17.1,28.14666667,32.93333333,58.71333333,40,88.572,0.168,1419,25000,506,-303.3333333,0.012169811,0.016981132,0,0,0,0,0.029150943,0,0.105320755,0.613207547,0.093509434,0.305773585,0.016603774,1,57.95853755
38,Pea fiber 50 M,2.5,4.222,0.468793333,0.652173913,71.77666667,17.1,28.14666667,32.93333333,58.71333333,40,88.572,0.168,1419,25000,506,-303.3333333,0.012169811,0.016981132,0,0,0,0,0.029150943,0,0.105320755,0.613207547,0.093509434,0.305773585,0.016603774,1,52.80632069
39,Pea fiber 50 M,2.5,4.222,0.468793333,0.652173913,71.77666667,17.1,28.14666667,32.93333333,58.71333333,40,88.572,0.168,1419,25000,506,-303.3333333,0.012169811,0.016981132,0,0,0,0,0.029150943,0,0.105320755,0.613207547,0.093509434,0.305773585,0.016603774,1,57.76407476
